measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,83,Iceland,3,Both,22,All ages,558,Mental disorders,1,Number,2020,17758.16315224513,21966.962206804328,14580.526961258733
6,Incidence,83,Iceland,3,Both,22,All ages,558,Mental disorders,1,Number,2021,17581.76135930827,21599.03975891277,14389.055698859607
6,Incidence,92,Spain,3,Both,22,All ages,558,Mental disorders,1,Number,2017,3657729.677142465,3972537.372480335,3308703.693204702
6,Incidence,92,Spain,3,Both,22,All ages,558,Mental disorders,1,Number,2018,3679853.784005245,3996265.329168466,3340443.480608608
6,Incidence,92,Spain,3,Both,22,All ages,558,Mental disorders,1,Number,2019,3687549.38823914,4012071.922747976,3326772.266491685
6,Incidence,92,Spain,3,Both,22,All ages,558,Mental disorders,1,Number,2020,4081038.034746238,5058375.979016907,3219071.2724807234
6,Incidence,92,Spain,3,Both,22,All ages,558,Mental disorders,1,Number,2021,3909543.0474068257,4810524.891221556,3113530.9553782744
6,Incidence,99,Uruguay,3,Both,22,All ages,558,Mental disorders,1,Number,2017,171373.47130583852,193872.3837364908,153053.4624316764
6,Incidence,99,Uruguay,3,Both,22,All ages,558,Mental disorders,1,Number,2018,170739.66383345771,192842.8468217925,152008.25751679603
6,Incidence,99,Uruguay,3,Both,22,All ages,558,Mental disorders,1,Number,2019,170424.4045557304,192003.99592825837,151280.69779547112
6,Incidence,99,Uruguay,3,Both,22,All ages,558,Mental disorders,1,Number,2020,186410.7563435008,231425.74002898147,148018.34146403844
6,Incidence,99,Uruguay,3,Both,22,All ages,558,Mental disorders,1,Number,2021,214519.51572508048,268230.7929658107,170853.44248789072
6,Incidence,82,Greece,3,Both,22,All ages,558,Mental disorders,1,Number,2017,867632.774826762,984577.7282437688,774502.7168610769
6,Incidence,82,Greece,3,Both,22,All ages,558,Mental disorders,1,Number,2018,892772.4996436841,1024938.3494645325,783524.724024435
6,Incidence,82,Greece,3,Both,22,All ages,558,Mental disorders,1,Number,2019,901445.9306103344,1046511.0474261332,779753.0074658438
6,Incidence,82,Greece,3,Both,22,All ages,558,Mental disorders,1,Number,2020,968582.2765929844,1213118.866976209,758267.2526136006
6,Incidence,82,Greece,3,Both,22,All ages,558,Mental disorders,1,Number,2021,1022467.476781261,1296908.5796914643,801173.8573849025
6,Incidence,72,New Zealand,3,Both,22,All ages,558,Mental disorders,1,Number,2017,275256.7701563473,310966.06344311126,247018.26325130917
6,Incidence,72,New Zealand,3,Both,22,All ages,558,Mental disorders,1,Number,2018,280564.4160522108,316322.2608250992,252241.07602260105
