Entity,year_month,monthly_avg_deaths,Indicator,violence_indicator,unemployment_rate
georgia,2020-03,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,466,NA
greece,2020-01,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,391,534
greece,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,202,534
greece,2020-02,0,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,365,516.6666666666666
greece,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,172,516.6666666666666
greece,2020-03,0.085859823,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,350,510
greece,2020-03,0.085859823,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,167,510
greece,2020-04,0.3210449263333333,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,335,528.6666666666666
greece,2020-04,0.3210449263333333,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,157,528.6666666666666
greece,2020-05,0.1420670256451613,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,412,561.6666666666666
greece,2020-05,0.1420670256451613,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,271,561.6666666666666
greece,2020-06,0.053050158,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,491,575.3333333333334
greece,2020-06,0.053050158,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,306,575.3333333333334
greece,2020-07,0.032750654,Sexual violence or physical assault by IPFM* (domestic violence): Total number of victims,609,486
greece,2020-07,0.032750654,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,373,486
guatemala,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,56,NA
guatemala,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,7,NA
guatemala,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,49,NA
guatemala,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,86,NA
guatemala,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,12,NA
guatemala,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,74,NA
guatemala,2020-03,0.001807395,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,97,NA
guatemala,2020-03,0.001807395,Physical asault by IPFM* (domestic violence): Male victims,16,NA
guatemala,2020-03,0.001807395,Physical asault by IPFM* (domestic violence): Female victims,81,NA
guatemala,2020-04,0.027436535,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,113,NA
guatemala,2020-04,0.027436535,Physical asault by IPFM* (domestic violence): Male victims,24,NA
guatemala,2020-04,0.027436535,Physical asault by IPFM* (domestic violence): Female victims,89,NA
guatemala,2020-05,0.1014722862903226,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,116,NA
guatemala,2020-05,0.1014722862903226,Physical asault by IPFM* (domestic violence): Male victims,20,NA
guatemala,2020-05,0.1014722862903226,Physical asault by IPFM* (domestic violence): Female victims,96,NA
guatemala,2020-06,1.062687666666667,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,128,NA
guatemala,2020-06,1.062687666666667,Physical asault by IPFM* (domestic violence): Male victims,16,NA
guatemala,2020-06,1.062687666666667,Physical asault by IPFM* (domestic violence): Female victims,112,NA
guatemala,2020-07,2.036933509677419,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,132,NA
guatemala,2020-07,2.036933509677419,Physical asault by IPFM* (domestic violence): Male victims,15,NA
guatemala,2020-07,2.036933509677419,Physical asault by IPFM* (domestic violence): Female victims,81,NA
guatemala,2020-08,1.657122474193548,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,120,NA
guatemala,2020-08,1.657122474193548,Physical asault by IPFM* (domestic violence): Male victims,17,NA
guatemala,2020-08,1.657122474193548,Physical asault by IPFM* (domestic violence): Female victims,92,NA
guyana,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,133,NA
guyana,2020-01,0,Physical asault by IPFM* (domestic violence): Male victims,35,NA
guyana,2020-01,0,Physical asault by IPFM* (domestic violence): Female victims,98,NA
guyana,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,95,NA
guyana,2020-02,0,Physical asault by IPFM* (domestic violence): Male victims,20,NA
guyana,2020-02,0,Physical asault by IPFM* (domestic violence): Female victims,75,NA
guyana,2020-03,0.039263068,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,114,NA
guyana,2020-03,0.039263068,Physical asault by IPFM* (domestic violence): Male victims,28,NA
guyana,2020-03,0.039263068,Physical asault by IPFM* (domestic violence): Female victims,86,NA
guyana,2020-04,0.2666149266666666,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,103,NA
guyana,2020-04,0.2666149266666666,Physical asault by IPFM* (domestic violence): Male victims,24,NA
guyana,2020-04,0.2666149266666666,Physical asault by IPFM* (domestic violence): Female victims,79,NA
iceland,2020-01,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,82,5.333333333333333
iceland,2020-02,0,Sexual violence or physical assault by IPFM*  (domestic violence): Total number of offences,76,8
